epoch,accuracy,loss,val_accuracy,val_loss
0,0.5466498732566833,0.6909064054489136,0.6472383737564087,0.6409081816673279
1,0.5513975024223328,0.6859915852546692,0.6476321816444397,0.6387483477592468
2,0.5591204762458801,0.6812527775764465,0.6518657207489014,0.6375580430030823
3,0.565869927406311,0.6775401830673218,0.656591534614563,0.6355316638946533
4,0.5719958543777466,0.6742874383926392,0.6633848547935486,0.6335367560386658
5,0.5798501372337341,0.671086847782135,0.6660431027412415,0.6327034831047058
6,0.5843679904937744,0.6680209040641785,0.669685959815979,0.6307334899902344
7,0.5889295935630798,0.6660024523735046,0.6732302904129028,0.6295183897018433
8,0.5913252830505371,0.6636595726013184,0.6770700216293335,0.6285083889961243
9,0.5943226218223572,0.6616828441619873,0.6826819181442261,0.6269934773445129
10,0.5967620015144348,0.6606597304344177,0.6846509575843811,0.6257893443107605
11,0.5988404750823975,0.6582844853401184,0.685143232345581,0.6245259046554565
12,0.5995733737945557,0.6570774912834167,0.6884906888008118,0.6239268779754639
13,0.6024722456932068,0.6553741097450256,0.6893767714500427,0.6223793625831604
14,0.6025597453117371,0.6543410420417786,0.6908535957336426,0.6211053729057312
15,0.6048569679260254,0.6533494591712952,0.6930195689201355,0.6197157502174377
16,0.6047913432121277,0.6523227095603943,0.6943979263305664,0.6197689175605774
17,0.6063337326049805,0.65101557970047,0.6927242279052734,0.6183046698570251
18,0.6074057817459106,0.6499369740486145,0.6938072443008423,0.6171697974205017
19,0.6074932813644409,0.6494858860969543,0.6919366121292114,0.6159623861312866
20,0.6075698733329773,0.6487714648246765,0.6913458704948425,0.6148115992546082
21,0.6093639135360718,0.6475228667259216,0.6918381452560425,0.6143558621406555
22,0.6095936298370361,0.6466385126113892,0.6930195689201355,0.6139920353889465
23,0.6101843118667603,0.6460967659950256,0.6911489367485046,0.6126688122749329
24,0.6109719276428223,0.6455551385879517,0.6917396783828735,0.6119102239608765
25,0.6110485196113586,0.6447178721427917,0.6915428042411804,0.6115379929542542
26,0.6122080683708191,0.6445389986038208,0.6896721720695496,0.6100721955299377
27,0.6125800013542175,0.6434704661369324,0.6900659799575806,0.6095754504203796
28,0.613345742225647,0.6431928873062134,0.6897705793380737,0.6085625886917114
29,0.6133238673210144,0.6423018574714661,0.6892783045768738,0.6080650687217712
30,0.6135863661766052,0.6420105695724487,0.6889829635620117,0.6076838970184326
31,0.6149428486824036,0.6418282389640808,0.6898690462112427,0.6070795655250549
32,0.6156101226806641,0.6407885551452637,0.6902628540992737,0.6072825789451599
33,0.6159383058547974,0.6400928497314453,0.6898690462112427,0.6051334738731384
34,0.616649329662323,0.639863908290863,0.6893767714500427,0.6045893430709839
35,0.6161680221557617,0.639366865158081,0.6904597878456116,0.6041266918182373
